Year,Al Gulch_3607,Al Gulch_609,Archuleta Mesa AA15_26,Archuleta Mesa B2_17,Archuleta Mesa c2_9,Archuleta Mesa c3_2,Archuleta Mesa B2_25,BM6_168,Cheesman Lake North_6,Cheesman Lake North_9,Cheesman Lake South_4,Cheesman Lake South_8,Cheesman Lake South_9,Cheesman Lake South_11,Cheesman Lake South_15,Cheesman Lake South_16,Cheesman Lake South_17,Crooked Creek_704,Five Pine Canyon_10,Hells Hole West_15,Hells Hole West_13,Hells Hole West_16,Hells Hole West_20,Hells Hole West_21,Hidden Valley South_307,Hidden Valley South_304,Hot Creek_13,Hot Creek_14,Hot Creek_17,Hot Creek_19,Loch Lomond_14,Loch Lomond_16,Loch Lomond_17,Loch Lomond_26,Lone Pine_6,22P,Manitou Demo Plot_11,Manitou Demo Plot_17,Manitou Old Growth_10,Manitou Old Growth_11,Manitou Old Growth_12,Manitou Old Growth_15,Manitou Old Growth_16,Mica Mine_7,Mica Mine_11,Mica Mine_12,Mica Mine_14,Missouri Gulch_5,Old Tree Cluster_27,Old Tree Cluster_29,Old Tree Cluster_35,Old Tree Cluster_15,Old Tree Cluster_16,Old Tree Cluster_17,Old Tree Cluster_64,Old Tree Cluster_25,Old Tree Cluster_68,Old Tree Cluster_36,Old Tree Cluster_65,Old Tree Cluster_30,Old Tree Cluster_38,Peabody Spur_901,Peabody Spur_905,Peabody Spur_904,Rollins Pass East_630,Rye Slough_304,Washout Gulch Burn_9,Washout Gulch Burn_22,Wet Mountains South_13,Wet Mountains South_14,Ashenfelder Lower_1,Ashenfelder Lower_2,Ashenfelder Upper_2,Ashenfelder Upper_3,Ashenfelder Upper_5,Ashenfelder Upper_10,Bear Lodge North_7,Bear Lodge North_10,Bear Lodge North_11,Cold Springs Creek_7,Lubrecht Experimental Forest_23
1150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
1167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,
1168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,
1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,
1198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
1212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,2,,,,,,,,,,,,,,,,,
1213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1222,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1223,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1224,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1225,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1226,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1227,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1228,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1229,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1230,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1231,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1232,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1233,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1234,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1235,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1236,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1237,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1238,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1239,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1240,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1241,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1242,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1243,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1244,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1245,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1246,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1247,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1248,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1249,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1250,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1251,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1252,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1253,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1254,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,2,2,1,1,2,2,1,,,1,,,,,,,,,,,,,,,,,
1255,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,1,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,
1256,,,,,,,,,,,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,,0,0,0,,,,1,1,1,1,1,1,1,,,2,,,,,,,,,,,,,,,,,
